time,pgd
2025-05-21 07:35:00,3.595860317590628e-08
2025-05-21 07:39:00,1.3291517672135629e-07
2025-05-21 07:40:00,6.34200728468686e-08
2025-05-21 08:24:00,4.852313595916981e-08
2025-05-21 08:37:00,1.330682758694196e-07
2025-05-21 08:39:00,2.315142290724453e-08
2025-05-21 08:40:00,4.3584144965926325e-08
2025-05-21 08:45:00,4.400690732167019e-08
2025-05-21 09:01:00,9.225429946907177e-08
2025-05-21 09:21:00,6.559783198703043e-08
2025-05-21 09:23:00,4.237077529023257e-08
2025-05-21 09:37:00,1.204237431156012e-07
2025-05-21 09:38:00,5.412660218098889e-08
2025-05-21 09:39:00,1.4473764871448725e-08
2025-05-21 09:43:00,1.3596304480775448e-07
2025-05-21 09:57:00,3.052830767124833e-08
2025-05-21 09:59:00,1.9112433751710177e-07
2025-05-21 10:00:00,1.9112953202117226e-07
2025-05-21 10:08:00,3.298496183780337e-08
2025-05-21 10:10:00,3.671160904096967e-08
2025-05-21 10:12:00,6.838639375932246e-08
2025-05-21 10:19:00,1.335310090733402e-07
2025-05-21 10:21:00,3.211624280875512e-08
2025-05-21 10:23:00,1.5095680051427776e-08
2025-05-21 10:25:00,4.574140319745161e-08
2025-05-21 10:26:00,3.649565065245805e-08
2025-05-21 10:29:00,8.85549480799519e-08
2025-05-21 10:41:00,3.1745598823947346e-07
2025-05-21 10:42:00,1.704816770903e-08
2025-05-21 10:44:00,4.983089458284041e-08
2025-05-21 10:50:00,1.626791487588884e-08
2025-05-21 11:01:00,8.268632109690342e-08
2025-05-21 11:07:00,4.9826343826170015e-08
2025-05-21 11:11:00,5.1602694834999717e-08
2025-05-21 11:13:00,2.6958443053176187e-08
2025-05-21 11:32:00,9.372853155860328e-08
2025-05-21 11:43:00,3.0852238213075294e-08
2025-05-21 11:44:00,3.08478013549699e-08
2025-05-21 11:50:00,6.543349690197937e-08
2025-05-21 11:56:00,3.3413278269014354e-08
2025-05-21 12:11:00,3.7382357498960396e-08
2025-05-21 12:12:00,3.093527999411167e-08
2025-05-21 12:18:00,1.2595635762354216e-07
2025-05-21 12:19:00,1.2595809065459644e-07
2025-05-21 12:21:00,5.7134348913738683e-08
2025-05-21 12:22:00,9.550674360020792e-09
2025-05-21 12:26:00,5.3474572853797667e-08
2025-05-21 12:37:00,7.647634574819427e-08
2025-05-21 12:38:00,7.648073549385163e-08
2025-05-21 13:02:00,2.875525970885743e-08
2025-05-21 13:17:00,8.8636914075563e-08
2025-05-21 13:22:00,1.1436219923627291e-07
2025-05-21 13:50:00,3.118074451615528e-08
2025-05-21 14:04:00,4.017556134277995e-08
2025-05-21 14:08:00,1.453762119212651e-08
2025-05-21 14:35:00,2.456648250184841e-08
2025-05-21 14:46:00,3.26188508549928e-07
2025-05-21 14:53:00,2.5448399633871235e-08
2025-05-21 15:10:00,3.083097441449868e-08
2025-05-21 15:13:00,1.2840708446829257e-08
2025-05-21 15:15:00,2.129479805316341e-08
2025-05-21 15:16:00,1.1780881864008573e-08
2025-05-21 15:20:00,9.3610583263824e-08
2025-05-21 15:22:00,3.515169762073045e-08
2025-05-21 15:37:00,1.8382929456961755e-08
2025-05-21 15:39:00,6.92515356052663e-08
2025-05-21 15:41:00,1.0197165713629945e-08
2025-05-21 16:05:00,5.749663685926261e-08
2025-05-21 16:09:00,3.112410305689485e-08
2025-05-21 16:14:00,9.093433888379371e-08
2025-05-21 16:28:00,3.035352336751929e-08
2025-05-21 16:41:00,1.387998783841006e-07
2025-05-21 16:48:00,8.593211943648729e-08
2025-05-21 16:49:00,8.593203039248737e-08
2025-05-21 17:11:00,8.237500211328173e-08
2025-05-21 17:31:00,2.8883994810991434e-08
2025-05-21 17:32:00,2.6931926051643763e-08
2025-05-21 17:40:00,5.9056532204137713e-08
2025-05-21 17:41:00,3.53953376916705e-08
2025-05-21 17:58:00,1.3000606139982522e-07
2025-05-21 17:59:00,1.0326928398658064e-07
2025-05-21 18:00:00,3.468130124372579e-08
2025-05-21 18:09:00,9.604808725593405e-08
2025-05-21 18:10:00,9.600557124700658e-08
2025-05-21 18:16:00,1.3967156761087582e-07
2025-05-21 18:20:00,5.350906681332343e-08
2025-05-21 18:21:00,2.477908598598251e-07
2025-05-21 18:22:00,2.7613872394498816e-08
2025-05-21 18:37:00,3.123767694216211e-08
2025-05-21 18:44:00,1.9653558226020753e-08
2025-05-21 18:45:00,5.155016892846491e-08
2025-05-21 18:46:00,4.3848135806206194e-08
2025-05-21 18:52:00,3.6142397662821404e-08
2025-05-21 18:53:00,2.153109504845301e-07
2025-05-21 18:57:00,8.843921435944618e-08
2025-05-21 19:03:00,5.856425662314137e-08
2025-05-21 19:06:00,1.9931351940633113e-08
2025-05-21 19:14:00,2.388028061259207e-08
